"id","label","address_line_1","address_line_2","city","state","zipcode","phone","type_code"
"1","Central Office","201 Stadium Drive","","Houma","LA","70360","(985) 876-7400","1"
"2","Auxiliary Services","340 St. Charles Street","Building # 3","Houma","LA","70360","(985) 876-7401","1"
"3","West Park Special Education and Federal Building","7573 Park Avenue","","Houma","LA","70360","(985) 876-7402","1"
"4","Warehouse","500 St. Charles Street","","Houma","LA","70360","(985) 876-7403","1"
"5","TPSD Bus Garage","750 St. Charles Street","","Houma","LA","70360","(985) 876-7404","1"
"6","Media Center","410 Stadium Drive","","Houma","LA","70360","(985) 876-7405","1"
"7","South Terrebonne High","3879 Hwy 24","","Bourg","LA","70343","(985) 868-7850","8"
"8","Upper Little Caillou","4824 Hwy 56","","Chauvin","LA","70344","(985) 594-4071","2"
"9","Lacache Middle","5266 Hwy 56","","Chauvin","LA","70344","(985) 594-3945","4"
"10","Gibson Elementary","6357 South Bayou Black Drive","","Gibson","LA","70356","(985) 575-3260","2"
"11","Southdown Elementary","5001 Bayou Black Drive","","Gibson","LA","70356","(985) 575-3261","2"
"12","H. L. Bourgeois High","#1 Reservation Drive","","Gray","LA","70359","(985) 872-3277","8"
"13","Broadmoor Elementary","1010 Broadmoor Avenue","","Houma","LA","70364","(985) 879-1042","2"
"14","Coteau-Bayou Blue Elementary","2550 Coteau Road","","Houma","LA","70364","(985) 868-4267","2"
"15","Legion Park Elementary","710 Williams Avenue","","Houma","LA","70364","(985) 876-2272","2"
"16","Lisa Park Elementary","6639 Lisa Park Avenue","","Houma","LA","70364","(985) 876-1055","2"
"17","Oakshire Elementary","5459 Vicari Street","","Houma","LA","70364","(985) 876-1007","2"
"18","Mulberry Elementary","450 Cougar Drive","","Houma","LA","70360","(985) 872-5328","2"
"19","Evergreen Junior High","5000 West Main Street","","Houma","LA","70360","(985) 876-2606","8"
"20","Houma Junior High","315 St. Charles Street","","Houma","LA","70360","(985) 872-1511","8"
"21","Terrebonne High","7318 Main Street","","Houma","LA","70360","(985) 879-3377","8"
"22","Bayou Cane Adult Education","6484 West Main Street","","Houma","LA","70360","(985) 876-3180","24"
"23","Dularge Elementary","621 Dularge Road","","Houma","LA","70363","(985) 876-0176","2"
"24","Grand Caillou Elementary","3933 Grand Caillou Road","","Houma","LA","70363","(985) 879-3001","2"
"25","Honduras Elementary","530 Grand Caillou Road","","Houma","LA","70363","(985) 872-5695","2"
"26","Village East Elementary","315 Lafayette Woods","","Houma","LA","70363","(985) 868-4900","2"
"27","Elysian Fields Middle","700 Hibernia Place","","Houma","LA","70363","(985) 876-2041","4"
"28","Grand Caillou Middle","2161 Grand Caillou Road","","Houma","LA","70363","(985) 876-7172","4"
"29","Oaklawn Junior High","2215 Acadian Drive","","Houma","LA","70363","(985) 872-3904","8"
"30","Ellender Memorial High","3012 Patriot Drive","","Houma","LA","70363","(985) 868-7903","8"
"31","Louis Miller Terrebonne - Career and Technical High","3051 Patriot Drive","","Houma","LA","70363","(985) 851-1163","40"
"32","East Street Alternative","609 East Street","","Houma","LA","70363","(985) 876-1093","24"
"33","Village East Elementary","315 Lafayette Woods","","Houma","LA","70363","(985) 868-4900","2"
"34","School for Exceptional Children","105 Moffet Road","","Houma","LA","70363","(985) 872-2496","24"
"35","Montegut Elementary","1137 Hwy 55","","Montegut","LA","70377","(985) 594-3657","2"
"36","Pointe-Aux-Chenes","1236 Hwy 665","","Montegut","LA","70377","(985) 594-2131","2"
"37","Montegut Middle","138 Dolphin Drive","","Montegut","LA","70377","(985) 594-5886","4"
"38","Schriever Elementary","2052 West Main Street","","Schriever","LA","70395","(985) 868-1199","2"
"39","Caldwell Middle","445 Hwy 311","","Schriever","LA","70395","(985) 868-2565","4"
"40","Southdown Elementary","1327 Bayou Dularge Road","","Theriot","LA","70397","(985) 879-1629","2"
