"id","label"
"1","Academic Coach"
"2","Account Compliance Control Monitor"
"3","Accountant"
"4","Accounting Clerk"
"5","Accounts Payable Specialist"
"6","Administrative Support Clerk"
"7","Administrative Technician"
"8","Administrator"
"9","Assessment Development Coordinator"
"10","Assistant Administrator"
"11","Assistant Contracts Manager"
"12","Assistant Director"
"13","Assistant Principal"
"14","Assistant Program Coordinator"
"15","Assistant Superintendent"
"16","Associate"
"17","Audit Clerk"
"18","Auditor"
"19","Behavior Analyst"
"20","Benefits & Retirement Associate"
"21","Benefits Analyst"
"22","Benefits Compliance Analyst"
"23","Benefits Generalist"
"24","Budget Analyst"
"25","Budget Director"
"26","Budget Operations Assistant"
"27","Budget Tech Assistant"
"28","Budget Technician"
"29","Building Construction Inspector"
"30","Building Engineer"
"31","Building Engineer Trainee"
"32","Bus Attendant"
"33","Bus Attendant Supervisor"
"34","Bus Chauffeur"
"35","Bus Chauffeur Handicaped Children"
"36","Bus Chauffeur Part Time Probation"
"37","Bus Chauffeur Training Instructor"
"38","Bus Dispatcher"
"39","Business Analyst"
"40","Business Information Analyst"
"41","Buyer"
"42","Career & Technical Eduction Assistant"
"43","Career Awareness Specialist"
"44","Career Coordinator"
"45","Caretaker"
"46","Case Manager"
"47","Case Manager"
"48","Classroom Assistant"
"49","Clerk"
"50","Climate Support Specialist"
"51","Communications Officer"
"52","Communications Specialist"
"53","Community Relation Liaison"
"54","Compensation Specialist"
"55","Compliance And Leave Specialist"
"56","Compliance Assistant"
"57","Comptroller"
"58","Computer Trainer"
"59","Construction Manager"
"60","Coordinator"
"61","Counseling Assistant, Bilingual"
"62","Counselor"
"63","Curriculum Development Specialist"
"64","Curriculum Specialist"
"65","Custodial Assistant"
"66","Custodial Foreman"
"67","Custodial Technician"
"68","Data Analyst"
"69","Data Integration Developer"
"70","Data Management Assistant"
"71","Data Processing Specialist"
"72","Data Specialist"
"73","Database Administrator"
"74","Deputy"
"75","Diesal Mechanic"
"76","Director"
"77","Division Commander"
"78","Electrician"
"79","Emergency Management Liaison"
"80","Employee Health Services Assistant"
"81","Environmental Manager"
"82","Environmental Services Clerk"
"83","Executive Assistant"
"84","Facilities Area Coordinator"
"85","Facilities Planner"
"86","Financial Analyst"
"87","Financial Applications Specialist"
"88","Financial Coordinator"
"89","Finish Inspector"
"90","Fire & Safety Operations Officer"
"91","Fire Alarm Maintenance Tech"
"92","Fire Safety Specialist"
"93","Fiscal Clerk"
"94","Fiscal Operations Analyst"
"95","Fixed Asset Accountant"
"96","Floor Lead"
"97","Food Services Operations Specialist"
"98","Food Services Technician"
"99","Food Services Worker"
"100","Foreman"
"101","Forensic Auditor"
"102","Grant Monitor"
"103","Grants Compliance Monitor"
"104","Helpdesk Coordinator"
"105","HVAC Mechanic"
"106","Instructor"
